time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	-7.1575510E-004	9.875286779596991E+000
1.999999949475750E+000	-1.0209407E-003	2.996898128294724E+000
2.999999924213625E+000	-9.6371846E-004	1.747027984690666E+000
3.999999898951501E+000	-8.4927381E-004	1.229716816735266E+000
4.999999873689376E+000	-1.0590890E-003	9.564391036629658E-001
5.999999848427251E+000	-8.6834794E-004	7.883577504515635E-001
6.999999823165126E+000	-8.3019974E-004	6.748323855161669E-001
7.999999797903001E+000	-8.8742207E-004	5.928089165091510E-001
8.999999772640876E+000	-8.4927381E-004	5.305936305403709E-001
9.999999747378752E+000	-9.4464433E-004	4.675594600902431E-001
1.099999972211663E+001	-8.8742207E-004	4.404674296140669E-001
1.199999969685450E+001	-8.1112562E-004	4.072339540660381E-001
1.299999967159238E+001	-9.0649613E-004	3.798725856959817E-001
1.399999964633025E+001	-7.1575510E-004	3.569665604710575E-001
1.499999962106813E+001	-8.4927381E-004	3.375359778702259E-001
1.599999959580600E+001	-8.4927381E-004	3.209040781140327E-001
1.699999957054388E+001	-1.0400148E-003	3.064607684671878E-001
1.799999954528175E+001	-7.9205155E-004	2.926571653246879E-001
1.899999952001963E+001	-9.6371846E-004	2.802686772882934E-001
1.999999949475750E+001	-7.3482923E-004	2.692245332956311E-001
2.099999946949538E+001	-9.8279258E-004	2.589740969061847E-001
2.199999944423325E+001	-8.8742207E-004	2.495727201759808E-001
2.299999941897113E+001	-8.6834794E-004	2.412536951631301E-001
2.399999939370900E+001	-1.0400148E-003	2.332119007617233E-001
2.499999936844688E+001	-6.9668103E-004	2.258252487003803E-001
2.599999934318475E+001	-6.7760691E-004	2.187919714272022E-001
2.699999931792263E+001	-1.0590890E-003	2.125531598120927E-001
2.799999929266050E+001	-7.5390335E-004	2.064814223051066E-001
2.899999926739838E+001	-7.5390335E-004	2.012607588827610E-001
2.999999924213625E+001	-9.6371846E-004	1.958949232250451E-001
3.099999921687413E+001	-8.1112562E-004	1.909999642401932E-001
3.199999919161201E+001	-8.8742207E-004	1.863838615357873E-001
3.299999916634988E+001	-9.0649613E-004	1.819793628364796E-001
3.399999914108776E+001	-9.8279258E-004	1.778746381670236E-001
3.499999911582563E+001	-8.1112562E-004	1.742953914582728E-001
3.599999909056351E+001	-9.0649613E-004	1.705588725686071E-001
3.699999906530138E+001	-8.6834794E-004	1.670387998908757E-001
3.799999904003926E+001	-8.1112562E-004	1.635500821292399E-001
3.899999901477713E+001	-7.3482923E-004	1.604719710737466E-001
3.999999898951501E+001	-8.1112562E-004	1.575460414767265E-001
4.099999896425288E+001	-8.3019974E-004	1.548627360612151E-001
4.199999893899076E+001	-9.0649613E-004	1.521271708607674E-001
4.299999891372863E+001	-9.0649613E-004	1.495314111858606E-001
4.399999888846651E+001	-8.6834794E-004	1.469655686914919E-001
4.499999886320438E+001	-9.0649613E-004	1.445193679273129E-001
4.599999883794226E+001	-6.9668103E-004	1.422538697153328E-001
4.699999881268013E+001	-7.7297742E-004	1.400075234115123E-001
4.799999878741801E+001	-8.8742207E-004	1.379611226499078E-001
4.899999876215588E+001	-8.8742207E-004	1.359537483692170E-001
4.999999873689376E+001	-7.7297742E-004	1.338926399350166E-001
5.099999871163163E+001	-1.0781630E-003	1.321026883542533E-001
5.199999868636951E+001	-8.8742207E-004	1.301561620891092E-001
5.299999866110738E+001	-7.5390335E-004	1.285258543223142E-001
5.399999863584526E+001	-8.3019974E-004	1.269834837928410E-001
5.499999861058313E+001	-8.3019974E-004	1.251666503727433E-001
5.599999858532101E+001	-7.9205155E-004	1.235459703296420E-001
5.699999856005888E+001	-9.8279258E-004	1.219558292582630E-001
5.799999853479676E+001	-9.0649613E-004	1.205619182035327E-001
5.899999850953463E+001	-7.7297742E-004	1.190370364606377E-001
5.999999848427251E+001	-8.6834794E-004	1.178534438028929E-001
6.099999845901039E+001	-9.4464433E-004	1.165618266344066E-001
6.199999843374826E+001	-7.3482923E-004	1.151119429871437E-001
6.299999840848614E+001	-9.0649613E-004	1.138710371688008E-001
6.399999838322401E+001	-7.3482923E-004	1.125754447415470E-001
6.499999835796189E+001	-9.0649613E-004	1.113942388191820E-001
6.599999833269976E+001	-8.3019974E-004	1.102208974733947E-001
6.699999830743764E+001	-8.8742207E-004	1.091096086353058E-001
6.799999828217551E+001	-8.6834794E-004	1.081432440489527E-001
6.899999825691339E+001	-5.8223639E-004	1.070589101105925E-001
6.999999823165126E+001	-9.8279258E-004	1.059539621904492E-001
7.099999820638914E+001	-8.3019974E-004	1.049250178709626E-001
7.199999818112701E+001	-1.1163113E-003	1.039582375362513E-001
7.299999815586489E+001	-7.5390335E-004	1.030417410731315E-001
7.399999813060276E+001	-9.0649613E-004	1.020895536899567E-001
7.499999810534064E+001	-7.5390335E-004	1.011521744132042E-001
7.599999808007851E+001	-1.0018667E-003	1.002279293090105E-001
7.699999805481639E+001	-9.2557026E-004	9.939513795971866E-002
7.799999802955426E+001	-8.8742207E-004	9.844523161053642E-002
7.899999800429214E+001	-8.8742207E-004	9.788951324969525E-002
7.999999797903001E+001	-9.6371846E-004	9.697940163314342E-002
8.099999795376789E+001	-7.7297742E-004	9.605937500745054E-002
8.199999792850576E+001	-9.2557026E-004	9.523167694210999E-002
8.299999790324364E+001	-9.8279258E-004	9.459849330484860E-002
8.399999787798151E+001	-8.4927381E-004	9.388160892873976E-002
8.499999785271939E+001	-9.6371846E-004	9.324936294108621E-002
8.599999782745726E+001	-8.6834794E-004	9.260371029078951E-002
8.699999780219514E+001	-8.8742207E-004	9.175313426107157E-002
8.799999777693301E+001	-7.7297742E-004	9.109944287687533E-002
8.899999775167089E+001	-9.4464433E-004	9.039721469730133E-002
8.999999772640876E+001	-8.4927381E-004	8.967049403339625E-002
9.099999770114664E+001	-9.8279258E-004	8.910838451534508E-002
9.199999767588452E+001	-8.4927381E-004	8.856748794615268E-002
9.299999765062239E+001	-9.4464433E-004	8.792969337701795E-002
9.399999762536027E+001	-8.8742207E-004	8.726695071905843E-002
9.499999760009814E+001	-8.4927381E-004	8.670638340860604E-002
