time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.4994912E+000	1.818289913977128E+002
1.999999949475750E+000	1.4996819E+000	1.236545009613037E+002
2.999999924213625E+000	1.4996057E+000	8.852079825286859E+001
3.999999898951501E+000	1.4993958E+000	6.353774409179687E+001
4.999999873689376E+000	1.4994912E+000	4.693364122948719E+001
5.999999848427251E+000	1.4996629E+000	4.347681476058955E+001
6.999999823165126E+000	1.4996438E+000	3.939595157089229E+001
7.999999797903001E+000	1.4995484E+000	3.650185549545279E+001
8.999999772640876E+000	1.4994531E+000	3.433072591323850E+001
9.999999747378752E+000	1.4994912E+000	3.262017438468934E+001
1.099999972211663E+001	1.4995866E+000	3.125598451614371E+001
1.199999969685450E+001	1.4996438E+000	3.017231231040955E+001
1.299999967159238E+001	1.4995294E+000	2.922094502906799E+001
1.399999964633025E+001	1.4995103E+000	2.841690053291321E+001
1.499999962106813E+001	1.4995675E+000	2.765222619819633E+001
1.599999959580600E+001	1.4994721E+000	2.701337382736199E+001
1.699999957054388E+001	1.4995484E+000	2.645444457893370E+001
1.799999954528175E+001	1.4997010E+000	2.592845663528442E+001
1.899999952001963E+001	1.4994531E+000	2.548953046035766E+001
1.999999949475750E+001	1.4995294E+000	2.509577106971739E+001
2.099999946949538E+001	1.4996438E+000	2.467134815521240E+001
2.199999944423325E+001	1.4995675E+000	2.429886851310727E+001
2.299999941897113E+001	1.4995294E+000	2.391330794219965E+001
2.399999939370900E+001	1.4994721E+000	2.357529667892453E+001
2.499999936844688E+001	1.4995484E+000	2.327341311111448E+001
2.599999934318475E+001	1.4997582E+000	2.302180336265562E+001
2.699999931792263E+001	1.4993768E+000	2.273590017585752E+001
2.799999929266050E+001	1.4994912E+000	2.247695535049439E+001
2.899999926739838E+001	1.4995675E+000	2.221998851699823E+001
2.999999924213625E+001	1.4995866E+000	2.199043044433594E+001
3.099999921687413E+001	1.4996057E+000	2.185429727249144E+001
3.199999919161201E+001	1.4994531E+000	2.162090832633973E+001
3.299999916634988E+001	1.4995103E+000	2.142523571166992E+001
3.399999914108776E+001	1.4994721E+000	2.126522208747863E+001
3.499999911582563E+001	1.4995103E+000	2.109439522514339E+001
3.599999909056351E+001	1.4994912E+000	2.091920226745606E+001
3.699999906530138E+001	1.4995484E+000	2.078504549484252E+001
3.799999904003926E+001	1.4994531E+000	2.066558128776546E+001
3.899999901477713E+001	1.4994340E+000	2.053222337303157E+001
3.999999898951501E+001	1.4997010E+000	2.039980650711058E+001
4.099999896425288E+001	1.4994912E+000	2.026519467277524E+001
4.199999893899076E+001	1.4993958E+000	2.012548059043884E+001
4.299999891372863E+001	1.4996247E+000	2.002665079421996E+001
4.399999888846651E+001	1.4995103E+000	2.000115140037536E+001
4.499999886320438E+001	1.4995866E+000	1.987545419998168E+001
4.599999883794226E+001	1.4995294E+000	1.975289878616331E+001
4.699999881268013E+001	1.4994149E+000	1.966290843772888E+001
4.799999878741801E+001	1.4993958E+000	1.954965708694459E+001
4.899999876215588E+001	1.4995484E+000	1.948084664649960E+001
4.999999873689376E+001	1.4996057E+000	1.942314338493347E+001
5.099999871163163E+001	1.4995675E+000	1.936238742408750E+001
5.199999868636951E+001	1.4996629E+000	1.927672937583924E+001
5.299999866110738E+001	1.4994912E+000	1.917184594841004E+001
5.399999863584526E+001	1.4995675E+000	1.904852992210385E+001
5.499999861058313E+001	1.4994149E+000	1.894011941337578E+001
5.599999858532101E+001	1.4995866E+000	1.887290629158014E+001
5.699999856005888E+001	1.4996438E+000	1.878260199356077E+001
5.799999853479676E+001	1.4995866E+000	1.870425855979914E+001
5.899999850953463E+001	1.4994531E+000	1.866422100677489E+001
