time/s	Ewe/V	<I>/mA	
9.999999747378752E-001	1.9992518E+000	4.171076783924773E+002
1.999999949475750E+000	1.9992518E+000	1.925061391571039E+002
2.999999924213625E+000	1.9993472E+000	1.225956525802612E+002
3.999999898951501E+000	1.9992900E+000	9.081482858428944E+001
4.999999873689376E+000	1.9993854E+000	7.340790291442863E+001
5.999999848427251E+000	1.9994807E+000	6.266837406463628E+001
6.999999823165126E+000	1.9994044E+000	5.556095037460318E+001
7.999999797903001E+000	1.9992900E+000	5.046438843612668E+001
8.999999772640876E+000	1.9993854E+000	4.623984999332305E+001
9.999999747378752E+000	1.9993663E+000	4.348145285644531E+001
1.099999972211663E+001	1.9993663E+000	4.119039586791990E+001
1.199999969685450E+001	1.9992137E+000	3.923936513214107E+001
1.299999967159238E+001	1.9991755E+000	3.773996201400757E+001
1.399999964633025E+001	1.9994426E+000	3.647182201614373E+001
1.499999962106813E+001	1.9993091E+000	3.543130396499635E+001
1.599999959580600E+001	1.9994426E+000	3.449207976074217E+001
1.699999957054388E+001	1.9993663E+000	3.368850632858278E+001
1.799999954528175E+001	1.9993091E+000	3.299883386459339E+001
1.899999952001963E+001	1.9992900E+000	3.239440687561023E+001
1.999999949475750E+001	1.9994235E+000	3.188558136558527E+001
2.099999946949538E+001	1.9993854E+000	3.146037731628411E+001
2.199999944423325E+001	1.9994044E+000	3.115257968673706E+001
2.299999941897113E+001	1.9993472E+000	3.092683630981443E+001
2.399999939370900E+001	1.9992137E+000	3.061827653350830E+001
2.499999936844688E+001	1.9994426E+000	3.033798951187134E+001
2.599999934318475E+001	1.9992137E+000	3.015478203124997E+001
2.699999931792263E+001	1.9994426E+000	2.997529757499694E+001
2.799999929266050E+001	1.9993854E+000	2.985930134582514E+001
2.899999926739838E+001	1.9994235E+000	2.977719026260377E+001
2.999999924213625E+001	1.9993854E+000	2.976137055015562E+001
3.099999921687413E+001	1.9996142E+000	2.971272651748657E+001
3.199999919161201E+001	1.9993091E+000	2.971295150108337E+001
3.299999916634988E+001	1.9993854E+000	2.981446792984002E+001
3.399999914108776E+001	1.9990993E+000	2.981296490554803E+001
3.499999911582563E+001	1.9995379E+000	2.986395124588006E+001
3.599999909056351E+001	1.9994044E+000	2.988821892242430E+001
3.699999906530138E+001	1.9993472E+000	2.990282589340211E+001
3.799999904003926E+001	1.9993472E+000	3.002190102081295E+001
3.899999901477713E+001	1.9992137E+000	3.006448960227965E+001
3.999999898951501E+001	1.9994044E+000	3.011696780815112E+001
4.099999896425288E+001	1.9992518E+000	3.022992882919311E+001
4.199999893899076E+001	1.9994235E+000	3.038605624618532E+001
4.299999891372863E+001	1.9992328E+000	3.046602360153190E+001
4.399999888846651E+001	1.9993854E+000	3.052560830726623E+001
4.499999886320438E+001	1.9992900E+000	3.062853305168147E+001
4.599999883794226E+001	1.9993663E+000	3.083903980064389E+001
4.699999881268013E+001	1.9994426E+000	3.116362910614012E+001
4.799999878741801E+001	1.9993663E+000	3.115704629631040E+001
4.899999876215588E+001	1.9992900E+000	3.123690190544127E+001
4.999999873689376E+001	1.9994235E+000	3.134107486190794E+001
5.099999871163163E+001	1.9993091E+000	3.139009603729244E+001
5.199999868636951E+001	1.9994998E+000	3.141644825477599E+001
5.299999866110738E+001	1.9993663E+000	3.154793065299987E+001
5.399999863584526E+001	1.9995570E+000	3.158215123176575E+001
5.499999861058313E+001	1.9994235E+000	3.168241673622131E+001
5.599999858532101E+001	1.9994235E+000	3.174378125648497E+001
5.699999856005888E+001	1.9995570E+000	3.185070162200924E+001
5.799999853479676E+001	1.9992900E+000	3.191533367500301E+001
5.899999850953463E+001	1.9993091E+000	3.196000523643488E+001
5.999999848427251E+001	1.9995189E+000	3.206198940277096E+001
6.099999845901039E+001	1.9994044E+000	3.212649790725709E+001
6.199999843374826E+001	1.9993663E+000	3.215376193923947E+001
6.299999840848614E+001	1.9994044E+000	3.223425655059815E+001
6.399999838322401E+001	1.9993091E+000	3.234336717453004E+001
6.499999835796189E+001	1.9994044E+000	3.234171762847893E+001
6.599999833269976E+001	1.9992709E+000	3.236971981048583E+001
6.699999830743764E+001	1.9994235E+000	3.235246585388182E+001
6.799999828217551E+001	1.9993472E+000	3.235234970321642E+001
6.899999825691339E+001	1.9992709E+000	3.238197181777957E+001
6.999999823165126E+001	1.9992709E+000	3.239855931854248E+001
7.099999820638914E+001	1.9993663E+000	3.232714923248284E+001
7.199999818112701E+001	1.9991946E+000	3.236419228973386E+001
7.299999815586489E+001	1.9994235E+000	3.232751507720945E+001
7.399999813060276E+001	1.9993663E+000	3.218281402740479E+001
7.499999810534064E+001	1.9994044E+000	3.213118488769521E+001
7.599999808007851E+001	1.9992518E+000	3.224683154449451E+001
7.699999805481639E+001	1.9993281E+000	3.216317302932737E+001
7.799999802955426E+001	1.9994998E+000	3.197310798454285E+001
7.899999800429214E+001	1.9993091E+000	3.180387712669369E+001
7.999999797903001E+001	1.9994044E+000	3.165463644714355E+001
8.099999795376789E+001	1.9993854E+000	3.168616190147395E+001
8.199999792850576E+001	1.9994426E+000	3.152431192779534E+001
8.299999790324364E+001	1.9991755E+000	3.140185470199572E+001
8.399999787798151E+001	1.9992137E+000	3.130833382720937E+001
8.499999785271939E+001	1.9993854E+000	3.117335716972350E+001
8.599999782745726E+001	1.9994044E+000	3.112770485153197E+001
8.699999780219514E+001	1.9993472E+000	3.104465640792847E+001
8.799999777693301E+001	1.9993663E+000	3.080800676536558E+001
8.899999775167089E+001	1.9994617E+000	3.074127643241877E+001
8.999999772640876E+001	1.9992709E+000	3.055095580558771E+001
9.099999770114664E+001	1.9993854E+000	3.031454325828554E+001
9.199999767588452E+001	1.9993281E+000	3.016245452613830E+001
9.299999765062239E+001	1.9993663E+000	3.005661403427123E+001
9.399999762536027E+001	1.9994044E+000	3.025689087181090E+001
9.499999760009814E+001	1.9994617E+000	2.990660982551572E+001
9.599999757483602E+001	1.9993091E+000	2.962054212112426E+001
9.699999754957389E+001	1.9993091E+000	2.935474112892149E+001
9.799999752431177E+001	1.9994426E+000	2.927443986778246E+001
9.899999749904964E+001	1.9994235E+000	2.914285946807860E+001
9.999999747378752E+001	1.9993854E+000	2.893797069740296E+001
1.009999974485254E+002	1.9994998E+000	2.871846277465818E+001
1.019999974232633E+002	1.9993854E+000	2.863412358016961E+001
1.029999973980011E+002	1.9994235E+000	2.839733486022949E+001
1.039999973727390E+002	1.9994426E+000	2.819132872619628E+001
1.049999973474769E+002	1.9994426E+000	2.807303467521660E+001
1.059999973222148E+002	1.9993854E+000	2.797138116683959E+001
1.069999972969526E+002	1.9993281E+000	2.773459190750123E+001
1.079999972716905E+002	1.9993663E+000	2.757034885139465E+001
1.089999972464284E+002	1.9993854E+000	2.748640877532955E+001
1.099999972211663E+002	1.9993663E+000	2.726172878227237E+001
1.109999971959041E+002	1.9993663E+000	2.711009482498162E+001
1.119999971706420E+002	1.9993472E+000	2.698192457542416E+001
1.129999971453799E+002	1.9993854E+000	2.698426962280274E+001
1.139999971201178E+002	1.9993854E+000	2.696984223022457E+001
1.149999970948556E+002	1.9995189E+000	2.676359070739738E+001
1.159999970695935E+002	1.9994426E+000	2.648841360092160E+001
1.169999970443314E+002	1.9996333E+000	2.657430398674012E+001
1.179999970190693E+002	1.9993472E+000	2.633272000122069E+001
1.189999969938071E+002	1.9993663E+000	2.603048666534423E+001
1.199999969685450E+002	1.9993854E+000	2.580862312507622E+001
1.209999969432829E+002	1.9993281E+000	2.561693178825378E+001
1.219999969180208E+002	1.9994044E+000	2.535278554687497E+001
1.229999968927586E+002	1.9994426E+000	2.535225304946899E+001
1.239999968674965E+002	1.9993091E+000	2.538763879928587E+001
1.249999968422344E+002	1.9992900E+000	2.525317905235289E+001
1.259999968169723E+002	1.9993663E+000	2.508460230026245E+001
1.269999967917101E+002	1.9994426E+000	2.484427248535155E+001
1.279999967664480E+002	1.9994617E+000	2.461823709716793E+001
1.289999967411859E+002	1.9993281E+000	2.441583405189513E+001
1.299999967159238E+002	1.9993281E+000	2.438130069656370E+001
1.309999966906616E+002	1.9993663E+000	2.427342415428162E+001
1.319999966653995E+002	1.9994617E+000	2.409035171890253E+001
1.329999966401374E+002	1.9993091E+000	2.395223053741454E+001
1.339999966148753E+002	1.9993663E+000	2.379666143722534E+001
1.349999965896131E+002	1.9994998E+000	2.359804154853821E+001
1.359999965643510E+002	1.9993472E+000	2.352656671791078E+001
1.369999965390889E+002	1.9992900E+000	2.348946908645630E+001
1.379999965138268E+002	1.9994617E+000	2.349666379089354E+001
1.389999964885646E+002	1.9994235E+000	2.351614413146970E+001
1.399999964633025E+002	1.9992328E+000	2.339002926330568E+001
1.409999964380404E+002	1.9993854E+000	2.320054748725892E+001
1.419999964127783E+002	1.9993091E+000	2.309673262023927E+001
1.429999963875161E+002	1.9993854E+000	2.312835524330139E+001
1.439999963622540E+002	1.9993281E+000	2.298906148338317E+001
1.449999963369919E+002	1.9994044E+000	2.281837253265381E+001
1.459999963117298E+002	1.9994617E+000	2.267996587181091E+001
1.469999962864676E+002	1.9992709E+000	2.253274595603938E+001
1.479999962612055E+002	1.9993281E+000	2.240517428436279E+001
1.489999962359434E+002	1.9994426E+000	2.245526248435971E+001
1.499999962106813E+002	1.9993091E+000	2.243655544853209E+001
1.509999961854192E+002	1.9992900E+000	2.225877376861572E+001
1.519999961601570E+002	1.9993281E+000	2.210293386955261E+001
1.529999961348949E+002	1.9993091E+000	2.197566855812067E+001
1.539999961096328E+002	1.9993472E+000	2.185077220001222E+001
1.549999960843707E+002	1.9994617E+000	2.186356479110719E+001
1.559999960591085E+002	1.9994617E+000	2.183923648605344E+001
1.569999960338464E+002	1.9994044E+000	2.181545066413879E+001
1.579999960085843E+002	1.9994807E+000	2.174914939842223E+001
1.589999959833222E+002	1.9995189E+000	2.163493908500671E+001
1.599999959580600E+002	1.9994617E+000	2.150420238456724E+001
1.609999959327979E+002	1.9993663E+000	2.146956658248899E+001
1.619999959075358E+002	1.9994235E+000	2.143097281837463E+001
1.629999958822737E+002	1.9994426E+000	2.129606275711058E+001
1.639999958570115E+002	1.9994044E+000	2.119419538307187E+001
1.649999958317494E+002	1.9993854E+000	2.108683362579345E+001
1.659999958064873E+002	1.9993091E+000	2.096831253776548E+001
1.669999957812252E+002	1.9992709E+000	2.091910764923094E+001
1.679999957559630E+002	1.9992900E+000	2.091628772773743E+001
1.689999957307009E+002	1.9992518E+000	2.080668015213013E+001
1.699999957054388E+002	1.9994617E+000	2.069013274536127E+001
1.709999956801767E+002	1.9993854E+000	2.059347549095153E+001
1.719999956549145E+002	1.9992900E+000	2.047506565284726E+001
1.729999956296524E+002	1.9994426E+000	2.038696135520934E+001
1.739999956043903E+002	1.9994235E+000	2.040673306770321E+001
1.749999955791282E+002	1.9994807E+000	2.034942563400267E+001
1.759999955538660E+002	1.9993663E+000	2.023463266716003E+001
1.769999955286039E+002	1.9993663E+000	2.014541373062133E+001
1.779999955033418E+002	1.9993281E+000	2.004299872589110E+001
1.789999954780797E+002	1.9992328E+000	1.994893066635132E+001
1.799999954528175E+002	1.9991946E+000	1.994436327362058E+001
1.809999954275554E+002	1.9993663E+000	1.990620271072385E+001
1.819999954022933E+002	1.9993663E+000	1.983220603103638E+001
1.829999953770312E+002	1.9994426E+000	1.976025464553828E+001
1.839999953517690E+002	1.9994426E+000	1.966097432518005E+001
1.849999953265069E+002	1.9993281E+000	1.954607366714475E+001
1.859999953012448E+002	1.9993091E+000	1.951139406013488E+001
1.869999952759827E+002	1.9994426E+000	1.950315807266236E+001
1.879999952507205E+002	1.9992900E+000	1.940710491905210E+001
1.889999952254584E+002	1.9992709E+000	1.932354930839538E+001
1.899999952001963E+002	1.9993854E+000	1.929803035926818E+001
1.909999951749342E+002	1.9993281E+000	1.921525833053585E+001
1.919999951496720E+002	1.9995379E+000	1.916980354499817E+001
1.929999951244099E+002	1.9993472E+000	1.919202378540038E+001
1.939999950991478E+002	1.9995379E+000	1.911768579444882E+001
1.949999950738857E+002	1.9992137E+000	1.901801041946408E+001
1.959999950486235E+002	1.9993854E+000	1.893349909362786E+001
1.969999950233614E+002	1.9992518E+000	1.883152811164854E+001
1.979999949980993E+002	1.9993091E+000	1.875315702362059E+001
1.989999949728372E+002	1.9992518E+000	1.877173435668945E+001
1.999999949475750E+002	1.9994617E+000	1.873673118782040E+001
2.009999949223129E+002	1.9994426E+000	1.865108726158141E+001
2.019999948970508E+002	1.9992900E+000	1.857318538398741E+001
2.029999948717887E+002	1.9993091E+000	1.848327645454406E+001
2.039999948465265E+002	1.9993472E+000	1.840209830055232E+001
2.049999948212644E+002	1.9992900E+000	1.843632829437257E+001
2.059999947960023E+002	1.9992709E+000	1.844202745552064E+001
2.069999947707402E+002	1.9994235E+000	1.835508120574951E+001
2.079999947454780E+002	1.9993472E+000	1.827940391807554E+001
2.089999947202159E+002	1.9995189E+000	1.820300081863404E+001
2.099999946949538E+002	1.9994044E+000	1.811174705352784E+001
